Prompt,Version,content_urls,style_urls,char_urls,content_alt,style_alt,char_alt,palette,mood,texture,subject,action,style_or_type,place,time,parameters,tension_note,meta_json
"https://s.mj.run/x1Xmq4tavzc https://s.mj.run/clmzmFnibY4 https://s.mj.run/khAQMPWrXoc https://s.mj.run/eJ98BRWcVU0 https://s.mj.run/povO46CkFqg https://s.mj.run/6HS4EO-HONk https://s.mj.run/2sEYALmyVY0 https://s.mj.run/LEVutonEu6A 70s fashion photography of a luminous goddess with skin made of delicate gold details by the water on the french coast early evening, kodak portra --ar 4:5 --profile hreu13h",6.1,https://s.mj.run/x1Xmq4tavzc https://s.mj.run/clmzmFnibY4 https://s.mj.run/khAQMPWrXoc https://s.mj.run/eJ98BRWcVU0 https://s.mj.run/povO46CkFqg https://s.mj.run/6HS4EO-HONk https://s.mj.run/2sEYALmyVY0 https://s.mj.run/LEVutonEu6A ,,,"Calm ocean scene under a bright moonlit sky. | Dark cliffs framing shimmering blue water under a night sky. | Artistic gold ring with a pearl, featuring an organic design. | Textured metal surface with a patterned, golden rectangular piece. | Black and white portrait of a person with curly, voluminous hair. | Close-up of a textured, white garment sleeve on a model. | Two large clam shells facing each other, showcasing intricate textures. | A figure in a flowing dress stands on driftwood at twilight.",,,"gold, blue",luminous,delicate,goddess,standing,70s fashion,French coast,early evening,"Kodak Portra, --ar 4:5, --profile hreu13h",calm,"{
  ""palette"":""gold, blue"",
  ""mood"":""luminous"",
  ""texture"":""delicate"",
  ""subject"":""goddess"",
  ""action"":""standing"",
  ""style_or_type"":""70s fashion"",
  ""place"":""French coast"",
  ""time"":""early evening"",
  ""parameters"":""Kodak Portra, --ar 4:5, --profile hreu13h"",
  ""tension_note"":""calm""
}"
"https://s.mj.run/x1Xmq4tavzc https://s.mj.run/clmzmFnibY4 https://s.mj.run/D7qp1Dp_WaM https://s.mj.run/khAQMPWrXoc https://s.mj.run/Eqm2FZLziAs https://s.mj.run/eJ98BRWcVU0 70s fashion photography of a luminous goddess with skin covered with delicate and sculptural gold details standing in the wind by the water on the french coast early evening, kodak portra --ar 4:5 --profile hreu13h",6.1,https://s.mj.run/x1Xmq4tavzc https://s.mj.run/clmzmFnibY4 https://s.mj.run/D7qp1Dp_WaM https://s.mj.run/khAQMPWrXoc https://s.mj.run/Eqm2FZLziAs https://s.mj.run/eJ98BRWcVU0 ,,,"Calm ocean scene under a bright moonlit sky. | Dark cliffs framing shimmering blue water under a night sky. | A figure in a flowing dress stands by the ocean under a cloudy sky. | Artistic gold ring with a pearl, featuring an organic design. | A translucent shell resting on golden sand. | Textured metal surface with a patterned, golden rectangular piece.",,,gold,luminous,sculptural,goddess,standing,fashion photography,French coast,early evening,Kodak Portra,,"{
  ""palette"": ""gold"",
  ""mood"": ""luminous"",
  ""texture"": ""sculptural"",
  ""subject"": ""goddess"",
  ""action"": ""standing"",
  ""style_or_type"": ""fashion photography"",
  ""place"": ""French coast"",
  ""time"": ""early evening"",
  ""parameters"": ""Kodak Portra"",
  ""tension_note"": """"
}"
"https://s.mj.run/x1Xmq4tavzc https://s.mj.run/clmzmFnibY4 https://s.mj.run/D7qp1Dp_WaM https://s.mj.run/khAQMPWrXoc https://s.mj.run/Eqm2FZLziAs https://s.mj.run/eJ98BRWcVU0 70s fashion photography of a luminous goddess with skin covered with delicate and sculptural gold details in the water on the french coast early evening, kodak portra --ar 4:5 --profile hreu13h",6.1,https://s.mj.run/x1Xmq4tavzc https://s.mj.run/clmzmFnibY4 https://s.mj.run/D7qp1Dp_WaM https://s.mj.run/khAQMPWrXoc https://s.mj.run/Eqm2FZLziAs https://s.mj.run/eJ98BRWcVU0 ,,,"Calm ocean scene under a bright moonlit sky. | Dark cliffs framing shimmering blue water under a night sky. | A figure in a flowing dress stands by the ocean under a cloudy sky. | Artistic gold ring with a pearl, featuring an organic design. | A translucent shell resting on golden sand. | Textured metal surface with a patterned, golden rectangular piece.",,,gold,luminous,delicate,goddess,standing,fashion photography,French coast,evening,Kodak Portra,,"{
  ""palette"": ""gold"",
  ""mood"": ""luminous"",
  ""texture"": ""delicate"",
  ""subject"": ""goddess"",
  ""action"": ""standing"",
  ""style_or_type"": ""fashion photography"",
  ""place"": ""French coast"",
  ""time"": ""evening"",
  ""parameters"": ""Kodak Portra"",
  ""tension_note"": """"
}"
"https://s.mj.run/yOAUfy7ulVg https://s.mj.run/khAQMPWrXoc https://s.mj.run/Yyt_cO6_ZYE https://s.mj.run/eJ98BRWcVU0 70s photograph of a large crochet textile sculpture with delicate gold details covering a large hill in tuscany at dusk, kodak portra --ar 4:5 --profile hreu13h",6.1,https://s.mj.run/yOAUfy7ulVg https://s.mj.run/khAQMPWrXoc https://s.mj.run/Yyt_cO6_ZYE https://s.mj.run/eJ98BRWcVU0 ,,,"Lush green landscape with uniquely shaped topiary trees. | Artistic gold ring with a pearl, featuring an organic design. | Textured fabric in orange and white, featuring layered pleats. | Textured metal surface with a patterned, golden rectangular piece.",,,"gold, green",artistic,textured,crochet sculpture,,photograph,Tuscany,dusk,Kodak Portra,,"{
  ""palette"":""gold, green"",
  ""mood"":""artistic"",
  ""texture"":""textured"",
  ""subject"":""crochet sculpture"",
  ""action"":"""",
  ""style_or_type"":""photograph"",
  ""place"":""Tuscany"",
  ""time"":""dusk"",
  ""parameters"":""Kodak Portra"",
  ""tension_note"":""""
}"
"https://s.mj.run/yOAUfy7ulVg https://s.mj.run/khAQMPWrXoc https://s.mj.run/Yyt_cO6_ZYE https://s.mj.run/0BQf0XGTXTw 70s photograph of a textile sculptural portal with delicate gold details on a rainy morning in Paris, with spectators, kodak portra --ar 4:5 --profile hreu13h",6.1,https://s.mj.run/yOAUfy7ulVg https://s.mj.run/khAQMPWrXoc https://s.mj.run/Yyt_cO6_ZYE https://s.mj.run/0BQf0XGTXTw ,,,"Lush green landscape with uniquely shaped topiary trees. | Artistic gold ring with a pearl, featuring an organic design. | Textured fabric in orange and white, featuring layered pleats. | Rainy street scene with elegant buildings and a motorcycle.",,,"gold, green, orange, white",elegant,"textured, layered",textile portal,spectating,70s photograph,Paris,morning,"kodak portra, --ar 4:5, --profile hreu13h",rainy,"{
  ""palette"":""gold, green, orange, white"",
  ""mood"":""elegant"",
  ""texture"":""textured, layered"",
  ""subject"":""textile portal"",
  ""action"":""spectating"",
  ""style_or_type"":""70s photograph"",
  ""place"":""Paris"",
  ""time"":""morning"",
  ""parameters"":""kodak portra, --ar 4:5, --profile hreu13h"",
  ""tension_note"":""rainy""
}"
"https://s.mj.run/yOAUfy7ulVg https://s.mj.run/khAQMPWrXoc https://s.mj.run/Yyt_cO6_ZYE https://s.mj.run/YRxhRCJHHrg https://s.mj.run/eJ98BRWcVU0 https://s.mj.run/povO46CkFqg 70s fashion photograph of a female model wearing a textile sculpture with delicate gold details in tuscany at dusk, kodak portra --ar 4:5 --profile hreu13h",6.1,https://s.mj.run/yOAUfy7ulVg https://s.mj.run/khAQMPWrXoc https://s.mj.run/Yyt_cO6_ZYE https://s.mj.run/YRxhRCJHHrg https://s.mj.run/eJ98BRWcVU0 https://s.mj.run/povO46CkFqg ,,,"Lush green landscape with uniquely shaped topiary trees. | Artistic gold ring with a pearl, featuring an organic design. | Textured fabric in orange and white, featuring layered pleats. | Model in a green netted dress against a soft backdrop. | Textured metal surface with a patterned, golden rectangular piece. | Black and white portrait of a person with curly, voluminous hair.",,,"gold, green",artistic,textured,female model,wearing,70s fashion,tuscany,dusk,--ar 4:5 --profile hreu13h,,"{
  ""palette"":""gold, green"",
  ""mood"":""artistic"",
  ""texture"":""textured"",
  ""subject"":""female model"",
  ""action"":""wearing"",
  ""style_or_type"":""70s fashion"",
  ""place"":""tuscany"",
  ""time"":""dusk"",
  ""parameters"":""--ar 4:5 --profile hreu13h"",
  ""tension_note"":""""
}"
"https://s.mj.run/yOAUfy7ulVg https://s.mj.run/khAQMPWrXoc https://s.mj.run/Yyt_cO6_ZYE 70s photograph of a textile sculptural portal with delicate gold details on a foggy morning in tuscany, kodak portra --ar 4:5 --profile hreu13h",6.1,https://s.mj.run/yOAUfy7ulVg https://s.mj.run/khAQMPWrXoc https://s.mj.run/Yyt_cO6_ZYE ,,,"Lush green landscape with uniquely shaped topiary trees. | Artistic gold ring with a pearl, featuring an organic design. | Textured fabric in orange and white, featuring layered pleats.",,,"gold, green, orange, white",artistic,"textured, layered",textile portal,,photograph,Tuscany,morning,"Kodak Portra, --ar 4:5, --profile hreu13h",foggy,"{
  ""palette"":""gold, green, orange, white"",
  ""mood"":""artistic"",
  ""texture"":""textured, layered"",
  ""subject"":""textile portal"",
  ""action"":"""",
  ""style_or_type"":""photograph"",
  ""place"":""Tuscany"",
  ""time"":""morning"",
  ""parameters"":""Kodak Portra, --ar 4:5, --profile hreu13h"",
  ""tension_note"":""foggy""
}"
https://s.mj.run/khAQMPWrXoc https://s.mj.run/rfIym3eb_ns https://s.mj.run/KKyn8luLS_A https://s.mj.run/YRxhRCJHHrg https://s.mj.run/VLu9a6Clupw https://s.mj.run/pK6R0jaD5WM textile with gold --ar 4:5 --profile hreu13h,6.1,https://s.mj.run/khAQMPWrXoc https://s.mj.run/rfIym3eb_ns https://s.mj.run/KKyn8luLS_A https://s.mj.run/YRxhRCJHHrg https://s.mj.run/VLu9a6Clupw https://s.mj.run/pK6R0jaD5WM ,,,"Artistic gold ring with a pearl, featuring an organic design. | Glossy blue ceramic with a gold accent, resembling organic forms. | Abstract patterns of dark and light fluid textures. | Model in a green netted dress against a soft backdrop. | Abstract fabric sculpture with folds against a simple background. | A flowing blue fabric drapes against a dark background.",,,"gold, blue",artistic,"glossy, fluid","ring, fabric",,abstract,,,--ar 4:5 --profile hreu13h,organic,"{
  ""palette"":""gold, blue"",
  ""mood"":""artistic"",
  ""texture"":""glossy, fluid"",
  ""subject"":""ring, fabric"",
  ""action"":"""",
  ""style_or_type"":""abstract"",
  ""place"":"""",
  ""time"":"""",
  ""parameters"":""--ar 4:5 --profile hreu13h"",
  ""tension_note"":""organic""
}"
"https://s.mj.run/khAQMPWrXoc https://s.mj.run/rfIym3eb_ns https://s.mj.run/KKyn8luLS_A 70s photograph of an ephemeral riveR of gold between rocks at dusk, kodak portra --ar 4:5 --profile hreu13h",6.1,https://s.mj.run/khAQMPWrXoc https://s.mj.run/rfIym3eb_ns https://s.mj.run/KKyn8luLS_A ,,,"Artistic gold ring with a pearl, featuring an organic design. | Glossy blue ceramic with a gold accent, resembling organic forms. | Abstract patterns of dark and light fluid textures.",,,"gold, blue",ephemeral,"glossy, organic","river, rocks",flowing,photograph,nature,dusk,--ar 4:5 --profile hreu13h,,"{
  ""palette"":""gold, blue"",
  ""mood"":""ephemeral"",
  ""texture"":""glossy, organic"",
  ""subject"":""river, rocks"",
  ""action"":""flowing"",
  ""style_or_type"":""photograph"",
  ""place"":""nature"",
  ""time"":""dusk"",
  ""parameters"":""--ar 4:5 --profile hreu13h"",
  ""tension_note"":""""
}"
https://s.mj.run/MTKWC4H9fjo https://s.mj.run/UONUb5uq2zM https://s.mj.run/Yyt_cO6_ZYE https://s.mj.run/N0dH67a2710 70s photograph of a golden sculpture on a volcanic beach --ar 4:5 --profile hreu13h,6.1,https://s.mj.run/MTKWC4H9fjo https://s.mj.run/UONUb5uq2zM https://s.mj.run/Yyt_cO6_ZYE https://s.mj.run/N0dH67a2710 ,,,"Shiny gold high-waisted shorts on a smooth leg. | Abstract red and white swirling patterns resembling fluid motion. | Textured fabric in orange and white, featuring layered pleats. | Close-up of a pink, fleshy object with a split center.",,,"gold, red, white, orange, pink",abstract,"smooth, textured",sculpture,,photograph,volcanic beach,70s,--ar 4:5 --profile hreu13h,,"{
  ""palette"":""gold, red, white, orange, pink"",
  ""mood"":""abstract"",
  ""texture"":""smooth, textured"",
  ""subject"":""sculpture"",
  ""action"":"""",
  ""style_or_type"":""photograph"",
  ""place"":""volcanic beach"",
  ""time"":""70s"",
  ""parameters"":""--ar 4:5 --profile hreu13h"",
  ""tension_note"":""""
}"
"https://s.mj.run/czM2wLWx8-g https://s.mj.run/TwfLatVatAo https://s.mj.run/MTKWC4H9fjo https://s.mj.run/g8mAlbXpRMk https://s.mj.run/UONUb5uq2zM https://s.mj.run/ocxRt-h9QdY https://s.mj.run/Yyt_cO6_ZYE https://s.mj.run/wj05l0tgf6A https://s.mj.run/N0dH67a2710 70s surreal full body photograph of a female model standing in intricate white sculptural textile with beautiful gold details on a red background, kodak portra --ar 4:5",6.1,https://s.mj.run/czM2wLWx8-g https://s.mj.run/TwfLatVatAo https://s.mj.run/MTKWC4H9fjo https://s.mj.run/g8mAlbXpRMk https://s.mj.run/UONUb5uq2zM https://s.mj.run/ocxRt-h9QdY https://s.mj.run/Yyt_cO6_ZYE https://s.mj.run/wj05l0tgf6A https://s.mj.run/N0dH67a2710 ,,,"Perfume bottle resting on a pineapple slice against a brown background. | Artistic vase with a glossy gold and textured white finish. | Shiny gold high-waisted shorts on a smooth leg. | A figure draped in sheer fabric against a serene ocean backdrop. | Abstract red and white swirling patterns resembling fluid motion. | A young person with braided hair, tears on their face, somber expression. | Textured fabric in orange and white, featuring layered pleats. | Abstract sculpture resembling a draped figure on a smooth surface. | Close-up of a pink, fleshy object with a split center.",,,"red, gold, white",surreal,"smooth, intricate",female model,standing,photograph,studio,70s,"Kodak Portra, --ar 4:5",,"{
  ""palette"":""red, gold, white"",
  ""mood"":""surreal"",
  ""texture"":""smooth, intricate"",
  ""subject"":""female model"",
  ""action"":""standing"",
  ""style_or_type"":""photograph"",
  ""place"":""studio"",
  ""time"":""70s"",
  ""parameters"":""Kodak Portra, --ar 4:5"",
  ""tension_note"":""""
}"
